Name,Brand,Notes,Description,Feeling Tags		
Light Blue,Dolce & Gabbana,"Top: Sicilian Lemon, Apple, Cedar	 Middle: Bamboo, Jasmine, White Rose	 Base: Amber, Musk, Cedar",A lively and fresh scent inspired by the Mediterranean.,"Fresh, Clean, Energetic, Citrus"
Chance Eau Tendre,Chanel,"Top: Grapefruit, Quince	 Middle: Jasmine, Hyacinth	 Base: Musk, Iris, Cedar, Amber","A soft, fruity floral fragrance that's both elegant and joyful.","Romantic, Elegant, Youthful, Clean"
La Vie Est Belle,Lanc̫me,"Top: Blackcurrant, Pear	 Middle: Iris, Jasmine, Orange Blossom	 Base: Praline, Vanilla, Tonka Bean, Patchouli",A sweet and warm scent that radiates positivity and femininity.,"Sweet, Warm, Feminine, Powdery"
Armani,"Rose, Musk, Sandalwood","A captivating scent from Gucci, perfect for powdery moments.","Spicy, Warm, Woody"		
Gucci,"Incense, Apple, Neroli","A captivating scent from YSL, perfect for musky moments.","Masculine, Musky, Powdery"		
Gucci,"Rose, Musk, Sandalwood","A captivating scent from Burberry, perfect for sweet moments.","Feminine, Earthy, Romantic"		
YSL,"Tuberose, Violet, Clove","A captivating scent from Armani, perfect for powdery moments.","Spicy, Powdery, Warm"		
Calvin Klein,"Jasmine, Vanilla, Amber","A captivating scent from Versace, perfect for masculine moments.","Woody, Fresh, Clean"		
YSL,"Grapefruit, Vetiver, Tonka Bean","A captivating scent from Prada, perfect for romantic moments.","Clean, Masculine, Elegant"		
Dior,"Lemon, Lavender, Oakmoss","A captivating scent from YSL, perfect for woody moments.","Citrus, Elegant, Powdery"		
Maison Margiela,"Rose, Musk, Sandalwood","A captivating scent from Dior, perfect for feminine moments.","Woody, Powdery, Spicy"		
Dior,"Jasmine, Vanilla, Amber","A captivating scent from Versace, perfect for fresh moments.","Feminine, Powdery, Clean"		
Prada,"Cedar, Bergamot, Patchouli","A captivating scent from Dior, perfect for fresh moments.","Musky, Warm, Masculine"		
Prada,"Tuberose, Violet, Clove","A captivating scent from Calvin Klein, perfect for musky moments.","Earthy, Spicy, Clean"		
Prada,"Grapefruit, Vetiver, Tonka Bean","A captivating scent from Versace, perfect for elegant moments.","Sweet, Masculine, Powdery"		
Gucci,"Grapefruit, Vetiver, Tonka Bean","A captivating scent from YSL, perfect for powdery moments.","Romantic, Feminine, Powdery"		
YSL,"Tuberose, Violet, Clove","A captivating scent from Maison Margiela, perfect for citrus moments.","Clean, Spicy, Sweet"		
Calvin Klein,"Rose, Musk, Sandalwood","A captivating scent from Calvin Klein, perfect for masculine moments.","Elegant, Citrus, Masculine"		
Calvin Klein,"Grapefruit, Vetiver, Tonka Bean","A captivating scent from Dior, perfect for masculine moments.","Romantic, Musky, Sweet"		
Versace,"Cedar, Bergamot, Patchouli","A captivating scent from Armani, perfect for sweet moments.","Elegant, Woody, Warm"		
Prada,"Grapefruit, Vetiver, Tonka Bean","A captivating scent from Tom Ford, perfect for woody moments.","Spicy, Woody, Warm"		
Prada,"Lemon, Lavender, Oakmoss","A captivating scent from Prada, perfect for elegant moments.","Elegant, Masculine, Romantic"		
Prada,"Incense, Apple, Neroli","A captivating scent from Burberry, perfect for masculine moments.","Romantic, Fresh, Spicy"		
Versace,"Tuberose, Violet, Clove","A captivating scent from Prada, perfect for fresh moments.","Earthy, Woody, Citrus"		
Armani,"Incense, Apple, Neroli","A captivating scent from Gucci, perfect for elegant moments.","Woody, Powdery, Earthy"		
Dior,"Rose, Musk, Sandalwood","A captivating scent from Tom Ford, perfect for masculine moments.","Sweet, Woody, Powdery"		
Gucci,"Cedar, Bergamot, Patchouli","A captivating scent from Gucci, perfect for romantic moments.","Fresh, Warm, Citrus"		
Dior,"Rose, Musk, Sandalwood","A captivating scent from YSL, perfect for fresh moments.","Woody, Feminine, Elegant"		
Gucci,"Ylang-Ylang, Orange Blossom, Leather","A captivating scent from Maison Margiela, perfect for spicy moments.","Elegant, Powdery, Masculine"		
Calvin Klein,"Cedar, Bergamot, Patchouli","A captivating scent from Calvin Klein, perfect for earthy moments.","Powdery, Masculine, Warm"		
Armani,"Cedar, Bergamot, Patchouli","A captivating scent from Gucci, perfect for fresh moments.","Earthy, Powdery, Sweet"		
Tom Ford,"Cedar, Bergamot, Patchouli","A captivating scent from YSL, perfect for woody moments.","Woody, Warm, Musky"		
Gucci,"Cedar, Bergamot, Patchouli","A captivating scent from Dior, perfect for earthy moments.","Feminine, Spicy, Citrus"		
Prada,"Cedar, Bergamot, Patchouli","A captivating scent from Tom Ford, perfect for feminine moments.","Earthy, Clean, Warm"		
Tom Ford,"Cedar, Bergamot, Patchouli","A captivating scent from Armani, perfect for clean moments.","Sweet, Spicy, Fresh"		
Calvin Klein,"Rose, Musk, Sandalwood","A captivating scent from Dior, perfect for masculine moments.","Feminine, Woody, Earthy"		
YSL,"Lemon, Lavender, Oakmoss","A captivating scent from Maison Margiela, perfect for powdery moments.","Citrus, Elegant, Sweet"		
Burberry,"Cedar, Bergamot, Patchouli","A captivating scent from YSL, perfect for fresh moments.","Sweet, Earthy, Feminine"		
Maison Margiela,"Ylang-Ylang, Orange Blossom, Leather","A captivating scent from Dior, perfect for fresh moments.","Clean, Musky, Sweet"		
Armani,"Cedar, Bergamot, Patchouli","A captivating scent from Versace, perfect for musky moments.","Clean, Woody, Masculine"		
